timestamp,latitude,longitude
137716,43.478596,-80.016815
137717,43.478687,-80.016449
137718,43.478775,-80.016083
137719,43.478863,-80.015717
137720,43.478951,-80.015366
137721,43.479034,-80.015022
137722,43.479115,-80.014679
137723,43.479198,-80.014336
137724,43.479279,-80.014008
137725,43.479362,-80.013687
137726,43.479446,-80.013359
137727,43.479542,-80.013039
137728,43.479614,-80.012711
137729,43.479694,-80.01239
137730,43.479782,-80.01207
137731,43.47987,-80.011734
137732,43.479958,-80.011406
137733,43.480053,-80.011078
137734,43.480152,-80.010735
137735,43.480247,-80.010391
137736,43.480358,-80.01004
137737,43.480469,-80.009682
137738,43.480576,-80.009323
137739,43.480682,-80.008957
137740,43.480797,-80.008598
137741,43.480904,-80.00824
137742,43.48101,-80.007881
137743,43.481129,-80.007523
137744,43.481236,-80.007156
137745,43.481342,-80.006805
137746,43.481457,-80.006462
137747,43.481567,-80.006119
137748,43.481689,-80.005775
137749,43.481808,-80.00544
137750,43.481937,-80.005112
137751,43.482067,-80.004776
137752,43.482204,-80.004448
137753,43.482346,-80.00412
137754,43.482491,-80.003799
137755,43.482647,-80.003464
137756,43.482807,-80.003136
137757,43.482967,-80.002808
137758,43.483135,-80.00248
137759,43.483311,-80.002159
137760,43.483486,-80.001831
137761,43.483673,-80.001503
137762,43.483852,-80.001167
137766,43.484581,-79.99984
137767,43.48476,-79.999512
137768,43.484943,-79.999184
137769,43.485126,-79.998856
137770,43.485313,-79.998528
137771,43.485493,-79.998192
137772,43.485676,-79.997856
137773,43.485855,-79.99752
137774,43.486046,-79.997185
137775,43.486237,-79.996841
137776,43.48642,-79.996498
137777,43.486607,-79.996162
137778,43.486801,-79.995811
137779,43.486988,-79.995453
137780,43.487179,-79.99511
137781,43.487373,-79.994759
137782,43.487564,-79.994408
137783,43.487755,-79.994057
137784,43.487946,-79.993713
137785,43.488136,-79.993362
137786,43.488327,-79.993011
137787,43.488522,-79.992653
137788,43.488716,-79.99231
137789,43.488903,-79.991959
137790,43.489098,-79.991608
137791,43.489288,-79.991257
137792,43.489479,-79.990906
137793,43.48967,-79.990562
137794,43.489857,-79.990211
137795,43.490047,-79.989861
137796,43.490238,-79.989517
137797,43.490429,-79.989166
137798,43.490616,-79.988823
